proteinA,Gene_Symbol,proteinB,Accession
P31689,DNAJA1,SARS-CoV-2_nsp14,P0DTC1
P63244,RACK1,SARS-CoV-2_nsp14,P0DTC1
P25685,DNAJB1,SARS-CoV-2_nsp14,P0DTC1
Q6P2E9,EDC4,SARS-CoV-2_nsp14,P0DTC1
O60271,SPAG9,SARS-CoV-2_nsp14,P0DTC1
Q05086,UBE3A,SARS-CoV-2_nsp14,P0DTC1
Q9NYL2,MAP3K20,SARS-CoV-2_nsp14,P0DTC1
P15822,HIVEP1,SARS-CoV-2_nsp14,P0DTC1
Q6FHJ7,SFRP4,SARS-CoV-2_nsp14,P0DTC1
Q12802,AKAP13,SARS-CoV-2_nsp14,P0DTC1
Q96NG5,ZNF558,SARS-CoV-2_nsp14,P0DTC1
Q6ZN19,ZNF841,SARS-CoV-2_nsp14,P0DTC1
Q86XN6,ZNF761,SARS-CoV-2_nsp14,P0DTC1
Q9GZX5,ZNF350,SARS-CoV-2_nsp14,P0DTC1
Q3MJ13,WDR72,SARS-CoV-2_nsp14,P0DTC1
B1APH4,ZNF487,SARS-CoV-2_nsp14,P0DTC1
Q96E35,ZMYND19,SARS-CoV-2_nsp14,P0DTC1
Q7Z3T8,ZFYVE16,SARS-CoV-2_nsp14,P0DTC1
Q9UI54,PRO0628,SARS-CoV-2_nsp14,P0DTC1
Q8IYP9,ZDHHC23,SARS-CoV-2_nsp14,P0DTC1
Q68DK2,ZFYVE26,SARS-CoV-2_nsp14,P0DTC1
Q9C0B5,ZDHHC5,SARS-CoV-2_nsp14,P0DTC1
Q32M78,ZNF699,SARS-CoV-2_nsp14,P0DTC1
Q9H0M5,ZNF700,SARS-CoV-2_nsp14,P0DTC1
Q02386,ZNF45,SARS-CoV-2_nsp14,P0DTC1
A8MVS1,ZNF705F,SARS-CoV-2_nsp14,P0DTC1
O00488,ZNF593,SARS-CoV-2_nsp14,P0DTC1
P58317,ZNF121,SARS-CoV-2_nsp14,P0DTC1
Q96MR9,ZNF560,SARS-CoV-2_nsp14,P0DTC1
Q8N184,ZNF567,SARS-CoV-2_nsp14,P0DTC1
Q9ULM3,YEATS2,SARS-CoV-2_nsp14,P0DTC1
Q9NXF8,ZDHHC7,SARS-CoV-2_nsp14,P0DTC1
Q8WTX9,ZDHHC1,SARS-CoV-2_nsp14,P0DTC1
O15156,ZBTB7B,SARS-CoV-2_nsp14,P0DTC1
O15209,ZBTB22,SARS-CoV-2_nsp14,P0DTC1
Q6UXN9,WDR82,SARS-CoV-2_nsp14,P0DTC1
O14980,XPO1,SARS-CoV-2_nsp14,P0DTC1
Q8TBZ8,ZNF564,SARS-CoV-2_nsp14,P0DTC1
O60304,ZNF500,SARS-CoV-2_nsp14,P0DTC1
Q9UM01,SLC7A7,SARS-CoV-2_nsp14,P0DTC1
Q07157,TJP1,SARS-CoV-2_nsp14,P0DTC1
Q6NSZ9,ZSCAN25,SARS-CoV-2_nsp14,P0DTC1
Q9UHR6,ZNHIT2,SARS-CoV-2_nsp14,P0DTC1
Q86W11,ZSCAN30,SARS-CoV-2_nsp14,P0DTC1
Q9NX65,ZSCAN32,SARS-CoV-2_nsp14,P0DTC1
P0CG00,ZSCAN5DP,SARS-CoV-2_nsp14,P0DTC1
Q2M1K9,ZNF423,SARS-CoV-2_nsp14,P0DTC1
Q9UL52,TMPRSS11E,SARS-CoV-2_nsp14,P0DTC1
Q99973,TEP1,SARS-CoV-2_nsp14,P0DTC1
Q6UX40,TMEM107,SARS-CoV-2_nsp14,P0DTC1
P67936,TPM4,SARS-CoV-2_nsp14,P0DTC1
Q9BSN7,TMEM204,SARS-CoV-2_nsp14,P0DTC1
P16035,TIMP2,SARS-CoV-2_nsp14,P0DTC1
Q9BZD6,PRRG4,SARS-CoV-2_nsp14,P0DTC1
Q7Z4N2,TRPM1,SARS-CoV-2_nsp14,P0DTC1
Q9UBN4,TRPC4,SARS-CoV-2_nsp14,P0DTC1
Q9HCX4,TRPC7,SARS-CoV-2_nsp14,P0DTC1
Q16831,UPP1,SARS-CoV-2_nsp14,P0DTC1
Q6DKK2,TTC19,SARS-CoV-2_nsp14,P0DTC1
Q8TAS1,UHMK1,SARS-CoV-2_nsp14,P0DTC1
Q9UJK0,TSR3,SARS-CoV-2_nsp14,P0DTC1
Q9BZX2,UCK2,SARS-CoV-2_nsp14,P0DTC1
Q6PKC3,TXNDC11,SARS-CoV-2_nsp14,P0DTC1
Q7Z7E8,UBE2Q1,SARS-CoV-2_nsp14,P0DTC1
O95847,SLC25A27,SARS-CoV-2_nsp14,P0DTC1
Q70EL2,USP45,SARS-CoV-2_nsp14,P0DTC1
Q8WVZ1,ZDHHC19,SARS-CoV-2_nsp14,P0DTC1
Q9C0D4,ZNF518B,SARS-CoV-2_nsp14,P0DTC1
Q9H869,YY1AP1,SARS-CoV-2_nsp14,P0DTC1
Q96S55,WRNIP1,SARS-CoV-2_nsp14,P0DTC1
O60281,ZNF292,SARS-CoV-2_nsp14,P0DTC1
Q4G0F5,VPS26B,SARS-CoV-2_nsp14,P0DTC1
Q9UIA9,XPO7,SARS-CoV-2_nsp14,P0DTC1
Q96QU8,XPO6,SARS-CoV-2_nsp14,P0DTC1
Q6N043,ZNF280D,SARS-CoV-2_nsp14,P0DTC1
Q8NEZ3,WDR19,SARS-CoV-2_nsp14,P0DTC1
Q7L3S4,ZNF771,SARS-CoV-2_nsp14,P0DTC1
Q68EA5,ZNF57,SARS-CoV-2_nsp14,P0DTC1
Q9NUE0,ZDHHC18,SARS-CoV-2_nsp14,P0DTC1
Q9H963,ZNF702P,SARS-CoV-2_nsp14,P0DTC1
Q9C0F3,ZNF436,SARS-CoV-2_nsp14,P0DTC1
Q96I27,ZNF625,SARS-CoV-2_nsp14,P0DTC1
P47914,RPL29,SARS-CoV-2_nsp14,P0DTC1
P48023,FASLG,SARS-CoV-2_nsp14,P0DTC1
P56180,TPTE,SARS-CoV-2_nsp14,P0DTC1
P0DTU3,TRA,SARS-CoV-2_nsp14,P0DTC1
Q96B77,TMEM186,SARS-CoV-2_nsp14,P0DTC1
Q9NXH9,TRMT1,SARS-CoV-2_nsp14,P0DTC1
Q9UPQ4,TRIM35,SARS-CoV-2_nsp14,P0DTC1
A2RRL7,TMEM213,SARS-CoV-2_nsp14,P0DTC1
